team,elo
Belgium,1692
USA,1641
France,1776
Mexico,1693
Brazil,1740
Yugoslavia,1530
Peru,1495
Romania,1463
Argentina,1817
Chile,1499
Bolivia,1374
Paraguay,1554
Uruguay,1645
Italy,1629
Egypt,1666
Hungary,1538
Czechoslovakia,1492
Netherlands,1734
Switzerland,1644
Germany,1738
Austria,1671
Sweden,1581
Spain,1824
Poland,1540
Cuba,1410
Indonesia,1435
Norway,1670
England,1744
Scotland,1582
South Korea,1679
Turkey,1657
Russia,1532
Northern Ireland,1421
Wales,1506
Colombia,1706
Bulgaria,1366
North Korea,1407
Portugal,1746
Israel,1468
El Salvador,1403
Morocco,1788
DR Congo,1588
German DR,1507
Australia,1659
Haiti,1528
Tunisia,1585
Iran,1686
Cameroon,1471
New Zealand,1511
Honduras,1461
Algeria,1729
Kuwait,1405
Canada,1642
Iraq,1589
Denmark,1606
United Arab Emirates,1448
Costa Rica,1442
Republic of Ireland,1515
Saudi Arabia,1552
Nigeria,1566
Greece,1495
South Africa,1585
Jamaica,1410
Croatia,1694
Serbia,1569
Japan,1738
Senegal,1723
Slovenia,1514
Ecuador,1661
China,1368
Trinidad and Tobago,1418
Ivory Coast,1694
Angola,1468
Ghana,1503
Czech Republic,1592
Togo,1401
Ukraine,1541
Slovakia,1468
Bosnia and Herzegovina,1490
Estonia,1363
Jordan,1553
Finland,1477
Moldova,1373
Latvia,1431
Sierra Leone,1463
Qatar,1486
Tanzania,1420
Panama,1582
Curacao,1485
Iceland,1428
Mali,1480
Uzbekistan,1625
Syria,1445
Zambia,1479
Albania,1436
Montenegro,1413
Luxembourg,1435
Vietnam,1399
Palestine,1429
Cyprus,1362
Cape Verde,1556
Kenya,1489
Madagascar,1415
Andorra,1412
Namibia,1481
Taiwan,1445
India,1433
Lithuania,1437
Botswana,1442
Lebanon,1397
Venezuela,1525
Guatemala,1425
Gambia,1474
Niger,1417
Malawi,1436
Libya,1437
Eswatini,1427
United States Virgin Islands,1476
Liberia,1387
Lesotho,1487
Rwanda,1485
Sint Maarten,1467
Grenada,1442
Oman,1417
Central African Republic,1428
Benin,1442
Zimbabwe,1440
Seychelles,1476
Comoros,1479
Sudan,1458
Dominica,1474
Saint Lucia,1463
Yemen,1390
Uganda,1433
Equatorial Guinea,1465
Nicaragua,1394
Guinea,1472
Saint Kitts and Nevis,1480
Congo,1466
Ethiopia,1463
Guadeloupe,1472
Kyrgyzstan,1418
Philippines,1461
Turkmenistan,1426
Bahrain,1499
Belarus,1443
Kazakhstan,1452
Azerbaijan,1436
Antigua and Barbuda,1513
Armenia,1428
Georgia,1465
San Marino,1400
French Guiana,1489
Mauritania,1439
Malta,1401
Basque Country,1502
Faroe Islands,1401
Burkina Faso,1513
North Macedonia,1451
Burundi,1432
Martinique,1439
Bermuda,1430
Guyana,1435
Guinea-Bissau,1446
Malaysia,1446
Afghanistan,1469
Liechtenstein,1400
Kosovo,1467
Gibraltar,1393
Hong Kong,1392
Myanmar,1470
Singapore,1433
Sri Lanka,1470
Nepal,1440
Cambodia,1463
Mongolia,1481
Bangladesh,1466
Gabon,1481
Tajikistan,1447
São Tomé and Príncipe,1446
Mozambique,1431
Barbados,1442
Saint Vincent and the Grenadines,1476
Belize,1477
Cayman Islands,1490
Turks and Caicos Islands,1488
Anguilla,1486
British Virgin Islands,1489
Aruba,1439
Suriname,1463
Dominican Republic,1455
Djibouti,1474
South Sudan,1436
Papua New Guinea,1488
Fiji,1478
New Caledonia,1479
Tahiti,1466
Solomon Islands,1476
Montserrat,1468
Maldives,1489
Thailand,1468
Pakistan,1458
Somalia,1488
Galicia,1490
Vanuatu,1466
Puerto Rico,1467
Saint Martin,1473
Chad,1475
Samoa,1489
Mauritius,1479
