fixture_id,date,round,home_team,away_team,home_goals,away_goals,status,venue,source,is_finished
,1930-07-13,FIFA World Cup,Belgium,USA,0,3,FT,,kaggle,True
,1930-07-13,FIFA World Cup,France,Mexico,4,1,FT,,kaggle,True
,1930-07-14,FIFA World Cup,Brazil,Yugoslavia,1,2,FT,,kaggle,True
,1930-07-14,FIFA World Cup,Peru,Romania,1,3,FT,,kaggle,True
,1930-07-15,FIFA World Cup,Argentina,France,1,0,FT,,kaggle,True
,1930-07-16,FIFA World Cup,Chile,Mexico,3,0,FT,,kaggle,True
,1930-07-17,FIFA World Cup,Bolivia,Yugoslavia,0,4,FT,,kaggle,True
,1930-07-17,FIFA World Cup,Paraguay,USA,0,3,FT,,kaggle,True
,1930-07-18,FIFA World Cup,Uruguay,Peru,1,0,FT,,kaggle,True
,1930-07-19,FIFA World Cup,Argentina,Mexico,6,3,FT,,kaggle,True
,1930-07-19,FIFA World Cup,Chile,France,1,0,FT,,kaggle,True
,1930-07-20,FIFA World Cup,Belgium,Paraguay,0,1,FT,,kaggle,True
,1930-07-20,FIFA World Cup,Bolivia,Brazil,0,4,FT,,kaggle,True
,1930-07-21,FIFA World Cup,Uruguay,Romania,4,0,FT,,kaggle,True
,1930-07-22,FIFA World Cup,Argentina,Chile,3,1,FT,,kaggle,True
,1930-07-26,FIFA World Cup,Argentina,USA,6,1,FT,,kaggle,True
,1930-07-27,FIFA World Cup,Uruguay,Yugoslavia,6,1,FT,,kaggle,True
,1930-07-30,FIFA World Cup,Uruguay,Argentina,4,2,FT,,kaggle,True
,1934-05-27,FIFA World Cup,Argentina,Sweden,2,3,FT,,kaggle,True
,1934-05-27,FIFA World Cup,Austria,France,3,2,FT,,kaggle,True
,1934-05-27,FIFA World Cup,Belgium,Germany,2,5,FT,,kaggle,True
,1934-05-27,FIFA World Cup,Brazil,Spain,1,3,FT,,kaggle,True
,1934-05-27,FIFA World Cup,Czechoslovakia,Romania,2,1,FT,,kaggle,True
