fixture_id,date,round,home_team,away_team,home_goals,away_goals,status,venue,source,is_finished,elo_h_clean,elo_a_clean
,1930-07-13,FIFA World Cup,Belgium,USA,0,3,FT,,kaggle,True,1500.0,1500.0
,1930-07-13,FIFA World Cup,France,Mexico,4,1,FT,,kaggle,True,1500.0,1500.0
,1930-07-14,FIFA World Cup,Brazil,Yugoslavia,1,2,FT,,kaggle,True,1500.0,1500.0
,1930-07-14,FIFA World Cup,Peru,Romania,1,3,FT,,kaggle,True,1500.0,1500.0
,1930-07-15,FIFA World Cup,Argentina,France,1,0,FT,,kaggle,True,1500.0,1512.0
,1930-07-16,FIFA World Cup,Chile,Mexico,3,0,FT,,kaggle,True,1500.0,1488.0
,1930-07-17,FIFA World Cup,Bolivia,Yugoslavia,0,4,FT,,kaggle,True,1500.0,1512.0
,1930-07-17,FIFA World Cup,Paraguay,USA,0,3,FT,,kaggle,True,1500.0,1512.0
,1930-07-18,FIFA World Cup,Uruguay,Peru,1,0,FT,,kaggle,True,1500.0,1488.0
,1930-07-19,FIFA World Cup,Argentina,Mexico,6,3,FT,,kaggle,True,1512.414300586377,1476.414300586377
,1930-07-19,FIFA World Cup,Chile,France,1,0,FT,,kaggle,True,1511.585699413623,1499.585699413623
,1930-07-20,FIFA World Cup,Belgium,Paraguay,0,1,FT,,kaggle,True,1488.0,1488.414300586377
,1930-07-20,FIFA World Cup,Bolivia,Brazil,0,4,FT,,kaggle,True,1488.414300586377,1488.0
,1930-07-21,FIFA World Cup,Uruguay,Romania,4,0,FT,,kaggle,True,1511.585699413623,1512.0
,1930-07-22,FIFA World Cup,Argentina,Chile,3,1,FT,,kaggle,True,1523.175335450914,1523.1713988272459
,1930-07-26,FIFA World Cup,Argentina,USA,6,1,FT,,kaggle,True,1535.1751994847493,1523.585699413623
,1930-07-27,FIFA World Cup,Uruguay,Yugoslavia,6,1,FT,,kaggle,True,1523.6000088421538,1523.585699413623
,1930-07-30,FIFA World Cup,Uruguay,Argentina,4,2,FT,,kaggle,True,1535.5995146120017,1546.7750607346477
,1934-05-27,FIFA World Cup,Italy,USA,7,1,FT,,kaggle,True,1500.0,1511.9858381637246
,1934-05-27,FIFA World Cup,Egypt,Hungary,2,4,FT,,kaggle,True,1500.0,1500.0
,1934-05-27,FIFA World Cup,Czechoslovakia,Romania,2,1,FT,,kaggle,True,1500.0,1499.9856905714691
,1934-05-27,FIFA World Cup,Netherlands,Switzerland,2,3,FT,,kaggle,True,1500.0,1500.0
,1934-05-27,FIFA World Cup,Belgium,Germany,2,5,FT,,kaggle,True,1476.0143094285309,1500.0
,1934-05-27,FIFA World Cup,Austria,France,3,2,FT,,kaggle,True,1500.0,1488.0
,1934-05-27,FIFA World Cup,Argentina,Sweden,2,3,FT,,kaggle,True,1534.3892041109737,1500.0
,1934-05-27,FIFA World Cup,Brazil,Spain,1,3,FT,,kaggle,True,1500.0143094285309,1500.0
,1934-05-31,FIFA World Cup,Austria,Hungary,2,1,FT,,kaggle,True,1511.585699413623,1512.0
,1934-05-31,FIFA World Cup,Czechoslovakia,Switzerland,3,2,FT,,kaggle,True,1511.999505769848,1512.0
,1934-05-31,FIFA World Cup,Germany,Sweden,2,1,FT,,kaggle,True,1511.1728772072652,1513.1838973173544
,1934-05-31,FIFA World Cup,Italy,Spain,1,1,FT,,kaggle,True,1512.413812036229,1512.000494230152
,1934-06-01,FIFA World Cup,Italy,Spain,1,0,FT,,kaggle,True,1512.3995365516791,1512.014769714702
,1934-06-03,FIFA World Cup,Italy,Austria,1,0,FT,,kaggle,True,1524.3862471813654,1523.6000088421538
,1934-06-03,FIFA World Cup,Czechoslovakia,Germany,3,1,FT,,kaggle,True,1523.9995228399525,1523.242334605497
,1934-06-07,FIFA World Cup,Austria,Germany,2,3,FT,,kaggle,True,1511.6271645059896,1511.2684869192112
,1934-06-10,FIFA World Cup,Italy,Czechoslovakia,2,1,FT,,kaggle,True,1536.3590915175296,1535.9733705262383
,1938-06-04,FIFA World Cup,Germany,Switzerland,1,1,FT,,kaggle,True,1523.280875199778,1499.9999829298954
,1938-06-05,FIFA World Cup,Brazil,Poland,6,5,FT,,kaggle,True,1488.0138151983788,1500.0
,1938-06-05,FIFA World Cup,Cuba,Romania,3,3,FT,,kaggle,True,1500.0,1487.9861848016212
,1938-06-05,FIFA World Cup,Czechoslovakia,Netherlands,3,0,FT,,kaggle,True,1523.986692851834,1488.0
,1938-06-05,FIFA World Cup,France,Belgium,3,1,FT,,kaggle,True,1476.414300586377,1464.8414322212657
,1938-06-05,FIFA World Cup,Hungary,Indonesia,6,0,FT,,kaggle,True,1499.9856905714691,1500.0
,1938-06-05,FIFA World Cup,Italy,Norway,2,1,FT,,kaggle,True,1548.3457691919339,1500.0
,1938-06-09,FIFA World Cup,Germany,Switzerland,2,4,FT,,kaggle,True,1522.4779829817742,1500.8028751478992
,1938-06-09,FIFA World Cup,Cuba,Romania,2,1,FT,,kaggle,True,1499.5852228229946,1488.4009619786266
,1938-06-12,FIFA World Cup,Hungary,Switzerland,2,0,FT,,kaggle,True,1511.9861848016212,1513.5505371330069
,1938-06-12,FIFA World Cup,France,Italy,1,3,FT,,kaggle,True,1488.014735637258,1558.686660020483
,1938-06-12,FIFA World Cup,Cuba,Sweden,0,8,FT,,kaggle,True,1511.1990655149455,1501.1144399191226
,1938-06-12,FIFA World Cup,Brazil,Czechoslovakia,1,1,FT,,kaggle,True,1500.4276391928188,1534.7481824313306
,1938-06-14,FIFA World Cup,Brazil,Czechoslovakia,2,1,FT,,kaggle,True,1501.6091880843426,1533.5666335398068
,1938-06-16,FIFA World Cup,Hungary,Sweden,5,1,FT,,kaggle,True,1524.0402152518764,1513.4626527630846
,1938-06-16,FIFA World Cup,Brazil,Italy,1,2,FT,,kaggle,True,1514.7098568308281,1568.2788551801618
,1938-06-19,FIFA World Cup,Hungary,Italy,2,4,FT,,kaggle,True,1535.674992018435,1578.443170911395
,1938-06-19,FIFA World Cup,Brazil,Sweden,4,2,FT,,kaggle,True,1504.5455410995949,1501.827875996526
,1950-06-24,FIFA World Cup,Brazil,Mexico,4,0,FT,,kaggle,True,1516.4516781866025,1465.6532657218402
,1950-06-25,FIFA World Cup,Chile,England,0,2,FT,,kaggle,True,1511.1715347934105,1500.0
,1950-06-25,FIFA World Cup,Italy,Sweden,2,3,FT,,kaggle,True,1588.9734264372364,1489.9217389095184
,1950-06-25,FIFA World Cup,Spain,USA,3,1,FT,,kaggle,True,1500.0280590850157,1499.5720261274955
,1950-06-25,FIFA World Cup,Switzerland,Yugoslavia,0,3,FT,,kaggle,True,1501.4965066827517,1511.586193643775
,1950-06-28,FIFA World Cup,Brazil,Switzerland,2,2,FT,,kaggle,True,1526.7095594199845,1489.844894192803
,1950-06-28,FIFA World Cup,Mexico,Yugoslavia,1,4,FT,,kaggle,True,1455.3953844884581,1523.2378061337238
,1950-06-29,FIFA World Cup,Paraguay,Sweden,2,2,FT,,kaggle,True,1500.3999911578462,1505.2530925950057
,1950-06-29,FIFA World Cup,Chile,Spain,0,2,FT,,kaggle,True,1498.7858165729444,1512.0123082737125
,1950-06-29,FIFA World Cup,England,USA,0,1,FT,,kaggle,True,1512.385718220466,1487.5877769387987
,1950-07-01,FIFA World Cup,Brazil,Yugoslavia,2,0,FT,,kaggle,True,1525.4410558107559,1532.9239457237024
,1950-07-02,FIFA World Cup,Bolivia,Uruguay,0,8,FT,,kaggle,True,1476.3999911578462,1547.9853712356758
,1950-07-02,FIFA World Cup,Chile,USA,5,2,FT,,kaggle,True,1487.242422856019,1500.4428160449531
,1950-07-02,FIFA World Cup,England,Spain,0,1,FT,,kaggle,True,1499.5306791143116,1523.555701990638
,1950-07-02,FIFA World Cup,Italy,Paraguay,2,0,FT,,kaggle,True,1573.642072751749,1500.5676004423324
,1950-07-02,FIFA World Cup,Mexico,Switzerland,1,2,FT,,kaggle,True,1445.7092448984795,1491.1133978020316
,1950-07-09,FIFA World Cup,Spain,Uruguay,2,2,FT,,kaggle,True,1534.7272271728486,1557.5473029951997
,1950-07-09,FIFA World Cup,Brazil,Sweden,7,1,FT,,kaggle,True,1537.6994657178489,1505.0854833105195
,1950-07-13,FIFA World Cup,Brazil,Spain,6,1,FT,,kaggle,True,1548.5763156847033,1535.5142732080178
,1950-07-13,FIFA World Cup,Sweden,Uruguay,2,3,FT,,kaggle,True,1494.208633343665,1556.7602569600306
,1950-07-16,FIFA World Cup,Brazil,Uruguay,1,2,FT,,kaggle,True,1560.12538115477,1566.622844482592
,1950-07-16,FIFA World Cup,Spain,Sweden,1,3,FT,,kaggle,True,1523.9652077379512,1484.3460458211034
,1954-06-16,FIFA World Cup,France,Yugoslavia,0,1,FT,,kaggle,True,1478.422540477579,1520.6655358166095
,1954-06-16,FIFA World Cup,Czechoslovakia,Uruguay,0,2,FT,,kaggle,True,1520.4659647933213,1578.3984562077783
,1954-06-16,FIFA World Cup,Brazil,Mexico,5,0,FT,,kaggle,True,1548.3497694295836,1435.2685819737642
,1954-06-16,FIFA World Cup,Austria,Scotland,1,0,FT,,kaggle,True,1499.614776225423,1500.0
,1954-06-17,FIFA World Cup,Switzerland,Italy,2,1,FT,,kaggle,True,1501.554060726747,1583.1547393267929
,1954-06-17,FIFA World Cup,Hungary,South Korea,9,0,FT,,kaggle,True,1525.1447364925937,1500.0
,1954-06-17,FIFA World Cup,Belgium,England,4,4,FT,,kaggle,True,1453.2409971703848,1488.359153932101
,1954-06-17,FIFA World Cup,Germany,Turkey,4,1,FT,,kaggle,True,1509.7303209966665,1500.0
,1954-06-19,FIFA World Cup,Austria,Czechoslovakia,5,0,FT,,kaggle,True,1511.6280813777828,1510.4485420862727
