date,group,round_label,home_team,away_team
2026-06-11,A,第一轮,Mexico,South Africa
2026-06-11,A,第一轮,South Korea,Czech Republic
2026-06-12,B,第一轮,Canada,Bosnia and Herzegovina
2026-06-12,D,第一轮,USA,Paraguay
2026-06-13,B,第一轮,Qatar,Switzerland
2026-06-13,C,第一轮,Brazil,Morocco
2026-06-13,C,第一轮,Haiti,Scotland
2026-06-13,D,第一轮,Australia,Turkey
2026-06-14,E,第一轮,Germany,Curacao
2026-06-14,E,第一轮,Ivory Coast,Ecuador
2026-06-14,F,第一轮,Netherlands,Japan
2026-06-14,F,第一轮,Sweden,Tunisia
2026-06-15,G,第一轮,Belgium,Egypt
2026-06-15,G,第一轮,Iran,New Zealand
2026-06-15,H,第一轮,Spain,Cape Verde
2026-06-15,H,第一轮,Saudi Arabia,Uruguay
2026-06-16,I,第一轮,France,Senegal
2026-06-16,I,第一轮,Iraq,Norway
2026-06-16,J,第一轮,Argentina,Algeria
2026-06-16,J,第一轮,Austria,Jordan
2026-06-17,K,第一轮,Portugal,DR Congo
2026-06-17,K,第一轮,Uzbekistan,Colombia
2026-06-17,L,第一轮,England,Croatia
2026-06-17,L,第一轮,Ghana,Panama
2026-06-18,A,第二轮,Czech Republic,South Africa
2026-06-18,A,第二轮,Mexico,South Korea
2026-06-18,B,第二轮,Canada,Qatar
2026-06-18,B,第二轮,Switzerland,Bosnia and Herzegovina
2026-06-19,C,第二轮,Brazil,Haiti
2026-06-19,C,第二轮,Scotland,Morocco
2026-06-19,D,第二轮,USA,Australia
2026-06-19,D,第二轮,Turkey,Paraguay
2026-06-20,E,第二轮,Germany,Ivory Coast
2026-06-20,E,第二轮,Ecuador,Curacao
2026-06-20,F,第二轮,Netherlands,Sweden
2026-06-20,F,第二轮,Tunisia,Japan
2026-06-21,G,第二轮,Belgium,Iran
2026-06-21,G,第二轮,New Zealand,Egypt
2026-06-21,H,第二轮,Spain,Saudi Arabia
2026-06-21,H,第二轮,Uruguay,Cape Verde
2026-06-22,I,第二轮,France,Iraq
2026-06-22,I,第二轮,Norway,Senegal
2026-06-22,J,第二轮,Argentina,Austria
2026-06-22,J,第二轮,Jordan,Algeria
2026-06-23,K,第二轮,Portugal,Uzbekistan
2026-06-23,K,第二轮,Colombia,DR Congo
2026-06-23,L,第二轮,England,Ghana
2026-06-23,L,第二轮,Panama,Croatia
2026-06-24,A,第三轮,Czech Republic,Mexico
2026-06-24,A,第三轮,South Africa,South Korea
2026-06-24,B,第三轮,Switzerland,Canada
2026-06-24,B,第三轮,Bosnia and Herzegovina,Qatar
2026-06-24,C,第三轮,Scotland,Brazil
2026-06-24,C,第三轮,Morocco,Haiti
2026-06-24,D,第三轮,Turkey,USA
2026-06-24,D,第三轮,Paraguay,Australia
2026-06-25,E,第三轮,Ecuador,Germany
2026-06-25,E,第三轮,Curacao,Ivory Coast
2026-06-25,F,第三轮,Tunisia,Netherlands
2026-06-25,F,第三轮,Japan,Sweden
2026-06-25,G,第三轮,New Zealand,Belgium
2026-06-25,G,第三轮,Egypt,Iran
2026-06-25,H,第三轮,Uruguay,Spain
2026-06-25,H,第三轮,Cape Verde,Saudi Arabia
2026-06-26,I,第三轮,Norway,France
2026-06-26,I,第三轮,Senegal,Iraq
2026-06-26,J,第三轮,Jordan,Argentina
2026-06-26,J,第三轮,Algeria,Austria
2026-06-26,K,第三轮,Colombia,Portugal
2026-06-26,K,第三轮,DR Congo,Uzbekistan
2026-06-26,L,第三轮,Panama,England
2026-06-26,L,第三轮,Croatia,Ghana
