预测日期,对阵,组,期望进球,比赛日期,轮次,比分预测,最终概率,最终预测,平局覆写,赔率融合,风险
2026-06-26,新西兰 vs 比利时,G,(1.1/2.6),2026-06-25,第三轮,1:2,H17% D9% A73%,客胜,,N,
2026-06-26,埃及 vs 伊朗,G,(1.6/1.4),2026-06-25,第三轮,1:1,H43% D33% A24%,平局,Y,Y,!! HIGH
2026-06-26,乌拉圭 vs 西班牙,H,(0.9/2.3),2026-06-25,第三轮,0:2,H16% D18% A65%,客胜,,Y,
2026-06-26,佛得角 vs 沙特,H,(2.1/1.4),2026-06-25,第三轮,2:1,H51% D19% A30%,主胜,,Y,
2026-06-26,挪威 vs 法国,I,(0.7/1.3),2026-06-26,第三轮,1:1,H14% D39% A47%,平局,Y,Y,!! HIGH
2026-06-26,塞内加尔 vs 伊拉克,I,(2.8/0.8),2026-06-26,第三轮,2:0,H77% D16% A6%,主胜,,Y,
2026-06-26,约旦 vs 阿根廷,J,(0.8/2.2),2026-06-26,第三轮,0:2,H17% D20% A63%,客胜,,N,
2026-06-26,阿尔及利亚 vs 奥地利,J,(2.0/1.0),2026-06-26,第三轮,1:1,H46% D34% A20%,平局,Y,Y,!! HIGH
2026-06-26,哥伦比亚 vs 葡萄牙,K,(1.1/1.1),2026-06-26,第三轮,1:1,H26% D35% A39%,平局,Y,Y,!! HIGH
2026-06-26,刚果(金) vs 乌兹别克斯坦,K,(1.6/1.5),2026-06-26,第三轮,2:1,H46% D22% A33%,主胜,,Y,
2026-06-26,巴拿马 vs 英格兰,L,(0.9/2.2),2026-06-26,第三轮,0:2,H13% D19% A68%,客胜,,N,
2026-06-26,克罗地亚 vs 加纳,L,(2.7/0.7),2026-06-26,第三轮,1:1,H68% D23% A9%,平局,Y,Y,  LOW
