date,home_team,away_team,home_goals,away_goals,round,elo_h,elo_a,elo_diff,h_win5,a_win5,h_gf5,a_gf5,h_ga5,a_ga5,h_gd5,a_gd5,h_win10,a_win10,h_gf10,a_gf10,h_ga10,a_ga10,h_gd10,a_gd10,h2h_n,h2h_h_winrate,h2h_a_winrate
1930-07-13,Belgium,USA,0,3,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1930-07-13,France,Mexico,4,1,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1930-07-14,Peru,Romania,1,3,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1930-07-15,Argentina,France,1,0,FIFA World Cup,1600.0,1537.7931750206972,62.20682497930284,0.5,1.0,0.0,4.0,0.0,1.0,0.0,3.0,0.5,1.0,0.0,4.0,0.0,1.0,0.0,3.0,0,0.0,0.0
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,1600.0,1462.2068249793028,137.79317502069716,0.5,0.0,0.0,1.0,0.0,4.0,0.0,-3.0,0.5,0.0,0.0,1.0,0.0,4.0,0.0,-3.0,0,0.0,0.0
1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,1600.0,1538.4038999881732,61.59610001182682,0.5,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0,0.0,0.0
1930-07-17,Paraguay,USA,0,3,FIFA World Cup,1600.0,1567.2068249793028,32.79317502069716,0.5,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.5,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0,0.0,0.0
1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,1600.0,1442.3941500177402,157.60584998225977,0.5,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,0.5,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,0,0.0,0.0
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,1624.6853016473972,1429.5012457580267,195.18405588937048,1.0,0.0,1.0,0.5,0.0,3.5,1.0,-3.0,1.0,0.0,1.0,0.5,0.0,3.5,1.0,-3.0,0,0.0,0.0
1930-07-19,Chile,France,1,0,FIFA World Cup,1632.7055792212761,1513.1078733733,119.59770584797616,1.0,0.5,3.0,2.0,0.0,1.0,3.0,1.0,1.0,0.5,3.0,2.0,0.0,1.0,3.0,1.0,0,0.0,0.0
1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,1532.7931750206972,1442.559379820331,90.2337952003661,0.0,0.0,0.0,0.0,3.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,3.0,3.0,-3.0,-3.0,0,0.0,0.0
1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,1533.880743818468,1461.5961000118268,72.28464380664127,0.0,0.0,0.0,1.0,4.0,2.0,-4.0,-1.0,0.0,0.0,0.0,1.0,4.0,2.0,-4.0,-1.0,0,0.0,0.0
1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,1617.2537470404861,1557.6058499822598,59.64789705822636,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0,0.0,0.0
1930-07-22,Argentina,Chile,3,1,FIFA World Cup,1650.447023639912,1552.7681272245316,97.67889641538045,1.0,1.0,3.5,2.0,1.5,0.0,2.0,2.0,1.0,1.0,3.5,2.0,1.5,0.0,2.0,2.0,0,0.0,0.0
1930-07-26,Argentina,USA,6,1,FIFA World Cup,1683.1187279449841,1624.6474451589718,58.47128278601235,1.0,1.0,3.33,3.0,1.33,0.0,2.0,3.0,1.0,1.0,3.33,3.0,1.33,0.0,2.0,3.0,0,0.0,0.0
1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,1663.94049405929,1604.523156169705,59.417337889584815,1.0,1.0,2.5,3.0,0.0,0.5,2.5,2.5,1.0,1.0,2.5,3.0,0.0,0.5,2.5,2.5,0,0.0,0.0
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,1713.778360526103,1633.1153585374273,80.66300198867566,1.0,1.0,3.67,4.0,0.33,1.25,3.33,2.75,1.0,1.0,3.67,4.0,0.33,1.25,3.33,2.75,0,0.0,0.0
1934-05-27,Italy,USA,7,1,FIFA World Cup,1600.0,1574.6508145665287,25.349185433471348,0.5,0.6667,0.0,2.33,0.0,2.0,0.0,0.33,0.5,0.6667,0.0,2.33,0.0,2.0,0.0,0.33,0,0.0,0.0
1934-05-27,Egypt,Hungary,2,4,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1934-05-27,Czechoslovakia,Romania,2,1,FIFA World Cup,1600.0,1510.919102963456,89.080897036544,0.5,0.5,0.0,1.5,0.0,2.5,0.0,-1.0,0.5,0.5,0.0,1.5,0.0,2.5,0.0,-1.0,0,0.0,0.0
1934-05-27,Netherlands,Switzerland,2,3,FIFA World Cup,1600.0,1500.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1934-05-27,Belgium,Germany,2,5,FIFA World Cup,1495.172342095983,1500.0,-4.827657904017087,0.0,0.5,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,-2.0,0.0,0,0.0,0.0
1934-05-27,Austria,France,3,2,FIFA World Cup,1600.0,1493.0453253700446,106.95467462995543,0.5,0.3333,0.0,1.33,0.0,1.0,0.0,0.33,0.5,0.3333,0.0,1.33,0.0,1.0,0.0,0.33,0,0.0,0.0
1934-05-27,Argentina,Sweden,2,3,FIFA World Cup,1698.3791127367576,1500.0,198.37911273675763,0.8,0.5,3.6,0.0,1.8,0.0,1.8,0.0,0.8,0.5,3.6,0.0,1.8,0.0,1.8,0.0,0,0.0,0.0
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,1629.3830382915735,1500.0,129.38303829157348,0.5,0.5,2.5,0.0,1.0,0.0,1.5,0.0,0.5,0.5,2.5,0.0,1.0,0.0,1.5,0.0,0,0.0,0.0
1934-05-31,Austria,Hungary,2,1,FIFA World Cup,1621.0458680890667,1557.6058499822598,63.440018106806974,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,0,0.0,0.0
1934-05-31,Czechoslovakia,Switzerland,3,2,FIFA World Cup,1622.4723706058624,1538.4038999881732,84.06847061768917,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0,0.0,0.0
1934-05-31,Germany,Sweden,2,1,FIFA World Cup,1651.7705533339338,1545.4823806083589,106.2881727255749,1.0,1.0,5.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,3.0,1.0,0,0.0,0.0
1934-05-31,Italy,Spain,1,1,FIFA World Cup,1659.1069834574027,1561.0237899703327,98.08319348707005,1.0,1.0,7.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,7.0,3.0,1.0,1.0,6.0,2.0,0,0.0,0.0
1934-06-01,Italy,Spain,1,0,FIFA World Cup,1650.855840315393,1569.2749331123425,81.5809072030504,0.5,0.5,4.0,2.0,1.0,1.0,3.0,1.0,0.5,0.5,4.0,2.0,1.0,1.0,3.0,1.0,1,0.0,0.0
1934-06-03,Italy,Austria,1,0,FIFA World Cup,1673.9382478105786,1545.628094423983,128.31015338659563,0.6667,1.0,3.0,2.5,0.67,1.5,2.33,1.0,0.6667,1.0,3.0,2.5,0.67,1.5,2.33,1.0,0,0.0,0.0
1934-06-03,Czechoslovakia,Germany,3,1,FIFA World Cup,1645.3517438685985,1572.8688749165613,72.48286895203728,1.0,1.0,2.5,3.5,1.5,1.5,1.0,2.0,1.0,1.0,2.5,3.5,1.5,1.5,1.0,2.0,0,0.0,0.0
1934-06-07,Austria,Germany,2,3,FIFA World Cup,1626.229638371493,1537.1230168393618,89.10662153213116,0.6667,0.6667,1.67,2.67,1.33,2.0,0.33,0.67,0.6667,0.6667,1.67,2.67,1.33,2.0,0.33,0.67,0,0.0,0.0
1934-06-10,Italy,Czechoslovakia,2,1,FIFA World Cup,1693.3367038630686,1581.097601945798,112.23910191727055,0.75,1.0,2.5,2.67,0.5,1.33,2.0,1.33,0.75,1.0,2.5,2.67,0.5,1.33,2.0,1.33,0,0.0,0.0
1938-06-04,Germany,Switzerland,1,1,FIFA World Cup,1674.6527275746223,1515.524526725437,159.1282008491853,0.75,0.5,2.75,2.5,2.0,2.5,0.75,0.0,0.75,0.5,2.75,2.5,2.0,2.5,0.75,0.0,0,0.0,0.0
1938-06-05,Brazil,Poland,6,5,FIFA World Cup,1568.3592483212408,1500.0,68.35924832124078,0.3333,0.5,2.0,0.0,1.67,0.0,0.33,0.0,0.3333,0.5,2.0,0.0,1.67,0.0,0.33,0.0,0,0.0,0.0
1938-06-05,Cuba,Romania,3,3,FIFA World Cup,1600.0,1488.4467323575936,111.55326764240635,0.5,0.3333,0.0,1.33,0.0,2.33,0.0,-1.0,0.5,0.3333,0.0,1.33,0.0,2.33,0.0,-1.0,0,0.0,0.0
1938-06-05,Czechoslovakia,Netherlands,3,0,FIFA World Cup,1660.4654689050512,1461.5961000118268,198.86936889322442,0.75,0.0,2.25,2.0,1.5,3.0,0.75,-1.0,0.75,0.0,2.25,2.0,1.5,3.0,0.75,-1.0,0,0.0,0.0
1938-06-05,France,Belgium,3,1,FIFA World Cup,1571.9994572809778,1343.4017887620491,228.59766851892869,0.25,0.0,1.5,0.67,1.5,3.0,0.0,-2.33,0.25,0.0,1.5,0.67,1.5,3.0,0.0,-2.33,0,0.0,0.0
1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,1633.0236236473436,1500.0,133.02362364734358,0.5,0.5,2.5,0.0,2.0,0.0,0.5,0.0,0.5,0.5,2.5,0.0,2.0,0.0,0.5,0.0,0,0.0,0.0
1938-06-05,Italy,Norway,2,1,FIFA World Cup,1713.9688369038154,1500.0,213.96883690381537,0.8,0.5,2.4,0.0,0.6,0.0,1.8,0.0,0.8,0.5,2.4,0.0,0.6,0.0,1.8,0.0,0,0.0,0.0
